product_code,color_value
2007280675,베이지
2007280678,베이지
2007280695,스카이블루
2007280695,레몬
2007280697,레몬
2007280697,스카이블루
2007280705,민트
2007280705,네온 오렌지
2007280706,민트
2007280706,네온 오렌지
2007280715,카키
2007280720,브라운
2007280726,챠콜
2007280726,스카이블루
2007280726,브라운
2007280738,블랙
2007280738,캐멀
2007280738,다크 그린
2007280785,옐로우
2007280785,민트
2007280785,핑크
2007280796,민트
2007280796,옐로우
2007280796,블랙
2007280804,투명
2007282513,화이트 골드
2007282515,실버
2007284698,라이트핑크
2007284699,라이트핑크
2007284880,화이트
2007285595,그레이
2007285595,다크그린
2007285943,블랙
2007289461,투명
2007289756,핑크
2007289757,블루
2007289876,골드
2007290396,핑크
2007290397,핑크
2007290399,옐로우
2008293430,베이지
2008293962,블랙
2008293967,블랙
2008293970,블랙
2008293972,블랙
2008294045,화이트
2008294046,화이트
2008295983,브라운
2008295986,그린
2008295986,아이보리
2008295986,머스타드
2008296051,옐로우
2008296052,옐로우
2008296053,옐로우
2008296054,화이트
2008296057,라이트 옐로우
2008296058,화이트
2008296121,네이비
2008296121,오렌지
2008296121,아이보리
2008296212,그린
2008296212,옐로우
2008296466,블루
2008296527,골드
2008296633,다크 네이비
2008296633,오트밀
2008296891,골드
2008296956,블루
2008296957,블루
2008296958,블루
2008296959,블루
2008297039,투명
2008297040,투명
2008297363,블랙
2008297363,스틸그레이
2008298086,블루
2008298087,블루
2008298507,블랙
2008298575,그린
2008298593,레드
2008299417,골드
2008299418,화이트 골드
2008299745,베이지
2008299750,오렌지
2008299754,카멜
2009300694,베이지
2009300696,아이보리
2009300698,네이비
2009300765,베이지
2009301217,화이트
2009301956,다크레드
2009301956,네이비
2009301958,베이지
2009303056,투명
2009303056,투명
2009303275,다크 그린
2009303278,카멜
2009303303,오렌지
2009303309,아이보리
2009303715,블루
2009304024,블랙
2009304093,레드
2009305119,블랙
2009305222,블루
2009306030,라센느
2009306030,비엔나
2009306030,플라워 플레이
2009306030,퍼플 스팅어
2009306030,그레잇 샌즈
2009306030,바비
2009306030,디스트로이어
2009306030,식핑크
2009306030,미디엄 블루
2009306030,메솔리틱
2009306030,쿠마토
2009306030,소스
2009306030,카인다 블루
2009306030,친오브골드
2009306030,울트라 마그네틱
2009306030,앤션트
2009306041,얼쓰 더스트
2009306041,리유니언
2009306041,커뮤터
2009306041,세미포멀
2009306041,댄스홀퀸
2009306041,서브트로피컬
2009306041,디볼스
2009306041,레드앤블루
2009306041,솔리드그라운드
2009306041,도쿄로즈
2009306041,차이나플럼
2009306041,라플럼
2009306041,레드암체어
2009306041,월십허
2009306802,골드
2009306807,골드
2009307391,화이트
2009307394,화이트
2009307452,네이비
2009308207,핑크
2009308211,브라운
2009308213,브라운
2009308219,핑크
2009308229,블루
2009308230,오렌지
2009308233,그린
2009308234,핑크
2009308489,핑크
2009308491,핑크
2009308516,브라운
2009308522,그레이
2009308523,핑크
2009308526,핑크
2009308530,브라운
2009308547,핑크
2009308618,화이트 골드
2010308873,화이트
2010309024,다크 베이지
2010309032,브릭
2010309042,그레이
2010309044,버건디
2010309064,블랙
2010309065,그레이
2010309066,다크 그린
2010309067,버건디
2010309070,그레이
2010309071,버건디
2010309072,블랙
2010309073,다크 그린
2010309074,그레이
2010309075,블랙
2010309076,다크 그린
2010309077,버건디
2010310906,블랙
2010311877,그린
2010311879,와인
2010312660,블랙
2010312661,크림
2010314264,그린
2010314264,코랄
2010314264,레드
2010314275,코랄
2010314277,블랙
2010314278,민트
2010315085,투명
2010315093,50ml
2010315094,50ml
2010315096,50ml
2010315762,멀티
2011317107,화이트
2011317545,골드
2011317571,실버
2011317573,실버
2011317687,다크 그레이
2011317687,다크 브라운
2011317687,라이트브라운
2011318100,퍼플
2011318101,퍼플
2011318103,브라운
2011318105,퍼플
2011318106,퍼플
2011318107,블랙
2011318108,블랙
2011318128,아이보리
2011318130,퍼플
2011318220,레드
2011318222,네이비
2011318223,레드
2011318225,브론즈
2011318243,브라운
2011318244,블랙
2011318247,네이비
2011318321,브라운
2011318323,카키
2011318334,블랙
2011318435,골드
2011318436,골드
2011318437,골드
2011318438,골드
2011318439,골드
2011318530,레드
2011319093,기타
2011319148,오트밀
2011319150,다크베이지
2011319383,화이트
2011319384,화이트
2011319385,화이트
2011319536,화이트
2011319544,화이트
2011319548,화이트
2011319638,스카이블루
2011319639,화이트
2011319641,핑크
2011319642,다크 그린
2011319817,화이트
2011319820,화이트
2011319824,화이트
2011319992,화이트
2011319994,화이트
2011320010,화이트
2011320131,화이트
2011320134,화이트
2011320138,화이트
2011320152,그린
2011320158,그린
2011320160,그린
2011320162,블루
2011320164,그레잇 샌즈
2011320166,레드
2011320168,그린
2011320171,그린
2011320174,체리브라운
2011320176,그린
2011321106,그레이
2011321740,화이트
2012321991,오트밀
2012321992,화이트
2012321994,화이트
2012321995,화이트
2012321998,화이트
2012322589,기타
2012323422,샌드
2012323427,브라운
2012323428,머스타드
2012324143,화이트
2012324143,화이트
2012324144,화이트
2012324144,화이트
2012324843,실버
2012324844,실버
2012324845,실버
2012325195,실버
2012325336,오렌지
2012325405,블랙
2012325405,베이지
2012326476,골드
2012326482,실버
2012326603,화이트
2012326823,화이트
2012326939,베이지
2012326950,화이트
2012326954,투명
2012326957,투명
2012326959,투명
2012326961,75ml
2012326961,40ml
2012326964,화이트
2012326970,화이트
2012326973,화이트
2012326974,화이트
2012326976,화이트
2012326977,화이트
2012326979,화이트
2012326982,화이트
2012326985,화이트
2012326995,화이트
2012326996,스킨
2012327005,1호 아이보리
2012327005,2호 라이트베이지
2012327005,3호 내추럴베이지
2012327026,화이트
2012327028,화이트
2012327030,화이트
2012327031,화이트
2012327108,투명
2012327772,화이트
2012327788,스카이블루
2012327793,핑크
2012327801,옐로우
2012327998,다크 그레이
2012327998,네이비
2012327998,라이트 그레이
2101328102,화이트
2101328103,화이트
2101328156,라이트 그레이
2101328157,블루
2101328813,투명
2101328814,투명
2101328815,투명
2101328816,투명
2101328817,투명
2101328818,투명
2101328819,기타
2101328904,베이지
2101328907,라이트 그레이
