product_code,deli_cost_form_cd,deli_cost_poli_no,st_amt,deli_cost_unit_qty,city_exp_deli_cost,ret_deli_cost,prepay_permit_form_cd,deli_cost_amt
01P0000211750,10,0000000001,40000,0,0,3000,,3000
01P0000211751,10,0000000001,40000,0,0,3000,,3000
01P0000211752,10,0000000001,40000,0,0,3000,,3000
01P0000211753,10,0000000001,40000,0,0,3000,,3000
01P0000211755,10,0000000001,40000,0,0,3000,,3000
01P0000211890,10,0000000001,40000,0,0,3000,,3000
01P0000211892,10,0000000001,40000,0,0,3000,,3000
01P0000212097,10,0000000001,40000,0,0,3000,,3000
01P0000212099,10,0000000001,40000,0,0,3000,,3000
01P0000213686,10,0000000001,40000,0,0,3000,,3000
01P0000216498,10,0000000001,40000,0,0,3000,,3000
01P0000216499,10,0000000001,40000,0,0,3000,,3000
01P0000216503,10,0000000001,40000,0,0,3000,,3000
01P0000216504,10,0000000001,40000,0,0,3000,,3000
01P0000217701,10,0000000001,40000,0,0,3000,,3000
01P0000217702,10,0000000001,40000,0,0,3000,,3000
01P0000219123,10,0000000001,40000,0,0,3000,,3000
01P0000221402,10,0000000001,40000,0,0,3000,,3000
01P0000221403,10,0000000001,40000,0,0,3000,,3000
01P0000221405,10,0000000001,40000,0,0,3000,,3000
01P0000221406,10,0000000001,40000,0,0,3000,,3000
01P0000221407,10,0000000001,40000,0,0,3000,,3000
01P0000237371,10,0000000001,40000,0,0,3000,,3000
01P0000237384,10,0000000001,40000,0,0,3000,,3000
01P0000237406,10,0000000001,40000,0,0,3000,,3000
01P0000237407,10,0000000001,40000,0,0,3000,,3000
01P0000237408,10,0000000001,40000,0,0,3000,,3000
01P0000237409,10,0000000001,40000,0,0,3000,,3000
01P0000237410,10,0000000001,40000,0,0,3000,,3000
01P0000237411,10,0000000001,40000,0,0,3000,,3000
01P0000237412,10,0000000001,40000,0,0,3000,,3000
01P0000237456,10,0000000001,40000,0,0,3000,,3000
01P0000239417,10,0000000001,40000,0,0,3000,,3000
01P0000239429,10,0000000001,40000,0,0,3000,,3000
01P0000240243,10,0000000001,40000,0,0,3000,,3000
01P0000240244,10,0000000001,40000,0,0,3000,,3000
01P0000240929,10,0000000001,40000,0,0,3000,,3000
01P0000240930,10,0000000001,40000,0,0,3000,,3000
01P0000240931,10,0000000001,40000,0,0,3000,,3000
01P0000242380,10,0000000001,40000,0,0,3000,,3000
01P0000244677,10,0000000001,40000,0,0,3000,,3000
01P0000244679,10,0000000001,40000,0,0,3000,,3000
01P0000244684,10,0000000001,40000,0,0,3000,,3000
01P0000244686,10,0000000001,40000,0,0,3000,,3000
01P0000245157,10,0000000001,40000,0,0,3000,,3000
01P0000245161,10,0000000001,40000,0,0,3000,,3000
01P0000247043,10,0000000001,40000,0,0,3000,,3000
01P0000248318,10,0000000001,40000,0,0,3000,,3000
01P0000248319,10,0000000001,40000,0,0,3000,,3000
